id,bike_name,city_posted,km_driven,color,fuel_type,price,model_year,owner_type,url
36043,"Bajaj Pulsar RS 200 Standard","Kolkata ",1100,Red,Petrol,130000,2015,FirstOwner,,
36044,"Bajaj Avenger 220","Kolkata ",1000,Blue,Petrol,75000,2014,FirstOwner,,,
36045,"Yamaha FZ16","Lucknow ",27000,MilitaryGreen,Petrol,39000,2009,FirstOwner,,
36046,"Yamaha YZF R15 Version 2.0","Lucknow ",25000,Red,Petrol,64000,2011,SecondOwner,,
36047,"Bajaj Pulsar 200 NS","Kolkata ",28000,Black,Petrol,59000,2012,FirstOwner,,
36050,"Hero Honda Passion Plus","Kolkata ",50000,Red,Petrol,21000,2003,SecondOwner,,
36051,"Bajaj Pulsar 150cc Dtsi","Kolkata ",35000,Black,Petrol,27500,2008,FirstOwner,,
36052,"Hero Honda Hunk","Kolkata ",34000,Red,Petrol,26999,2008,FirstOwner,,
36055,"Royal Enfield Classic 350","Kolkata ",8500,Silver,Petrol,110000,2013,FirstOwner,,
36056,"Royal Enfield Classic 350","Kolkata ",3500,Black,Petrol,100000,2011,FirstOwner,,
36057,"Royal Enfield Bullet 350","Kolkata ",22122,MattlicGreen,Petrol,55000,2000,ThirdOwner,,
36059,"Yamaha FZ16","Kolkata ",26000,BlackAndYellow,Petrol,35000,2009,FirstOwner,,
36060,"TVS Apache RTR 160","Kolkata ",50000,Black,Petrol,34999,2010,FirstOwner,,
36061,"Hero Honda Passion Pro","Tiruvallur ",70000,Black,Petrol,19999,2010,FirstOwner,,
36062,"Hero Honda Passion Plus","Chennai ",40000,Red,Petrol,9000,2002,FirstOwner,,
36063,"Honda Unicorn Alloy","Chennai ",50000,Black,Petrol,42000,2009,FirstOwner,,
36064,"Suzuki Shogun STD","Chennai ",500,White,Petrol,28500,1996,SecondOwner,,
36065,"Royal Enfield Thunderbird 350","Chennai ",9800,Black,Petrol,110000,2014,FirstOwner,,
36066,"TVS Max 4R","Gaya ",2345,Red,Diesel,5000,2015,FirstOwner,,
36067,"TVS Sport Electric Start Mag","Tiruvallur ",9000,Red,Petrol,29000,2010,FirstOwner,,
36068,"TVS Apache RTR 160","Chennai ",5500,Yellow,Petrol,52000,2014,FirstOwner,,
36069,"Mahindra Centuro NXT","Kanchipuram ",30500,Black,Petrol,29000,2014,FirstOwner,,
36070,"Tvs Victor 125","Kanchipuram ",20000,Blue,Petrol,10000,2004,FirstOwner,,
36071,"Yamaha FZ S","Kanchipuram ",25000,BlackNGreen,Petrol,42000,2011,FirstOwner,,
36072,"Yamaha Enticer 125","Tiruvallur ",30000,Red,Petrol,30000,2004,SecondOwner,,
36073,"Yamaha FZ S","Kanchipuram ",15000,BattleGreen,Petrol,49000,2013,FirstOwner,,
36074,"Yamaha YZF R15 Version 2.0","Kanchipuram ",20000,Black,Petrol,85000,2013,FirstOwner,,
36075,"Yamaha RX 135 STD","Kanchipuram ",5580,Black,Petrol,54000,2004,FirstOwner,,
36076,"Yamaha FZ S","Chennai ",34000,Green,Petrol,32999,2010,SecondOwner,,
36077,"Bajaj Pulsar 150cc Dtsi","Coimbatore ",70000,Red,Petrol,26000,2008,SecondOwner,,
36078,"Bajaj Discover 100","Coimbatore ",35000,RedAndBlack,Petrol,30000,2011,FirstOwner,,
36079,"Hero Honda Splendor Plus","Coimbatore ",12000,BlackAndGrey,Petrol,19000,2007,FirstOwner,,
36080,"Royal Enfield Thunderbird 350","Coimbatore ",7500,Black,Petrol,120000,2014,FirstOwner,,
36081,"Honda Shine CBS","Coimbatore ",30000,Black,Petrol,24999,2010,FirstOwner,,
36082,"Royal Enfield Bullet Electra Twinspark","Delhi ",900,Black,Petrol,110000,2015,FirstOwner,,
36083,"TVS Apache RTR 160","Coimbatore ",19500,BlackAndGrey,Petrol,44999,2012,FirstOwner,,
36084,"TVS Sport Kick Start Spoke","Coimbatore ",65000,GreenAndBlack,Petrol,30000,2012,SecondOwner,,
36085,"Bajaj Discover 100","Hyderabad ",42482,Red,Petrol,35000,2013,SecondOwner,,
36086,"Bajaj Pulsar 150cc Dtsi","Mahabubabad ",41000,BlueAndBlack,Petrol,39000,2011,SecondOwner,,
36087,"Bajaj Pulsar 150cc Dtsi","Hyderabad ",70000,Black,Petrol,18000,2005,SecondOwner,,
36088,"Bajaj Pulsar 200 NS ABS","Hyderabad ",16,Black,Petrol,99999,2015,FirstOwner,,
36089,"Bajaj Caliber 115",K.,62000,AshBlack,Petrol,14999,2003,FirstOwner,,
36090,"Bajaj Pulsar 180cc Dtsi","Hyderabad ",46000,Black,Petrol,19500,2008,SecondOwner,,
36091,"Bajaj Pulsar 150cc Dtsi",K.,82000,Black,Petrol,21000,2005,FirstOwner,,
36092,"Bajaj Pulsar 150cc Dtsi",K.,50000,Black,Petrol,33500,2010,FirstOwner,,
36093,"Hero Honda Passion Pro","Visakhapatnam ",21000,Black,Petrol,45000,2013,FirstOwner,,
36094,"Bajaj Avenger 180","Hyderabad ",55000,Black,Petrol,35000,2006,SecondOwner,,
36095,"Bajaj Avenger 220","Hanamkonda ",28000,Blue,Petrol,64999,2012,FirstOwner,,
36096,"Hero Honda Cbz Xtreme Self Start","Medak ",34000,Black,Petrol,35000,2011,SecondOwner,,
36097,"Hero Honda Splendor Plus",K.,79000,BlueAndWhite,Petrol,27000,2006,FirstOwner,,
36098,"Hero Honda Hunk","Hyderabad ",35000,Red,Petrol,25000,2008,SecondOwner,,
36099,"Hero Honda Cbz Xtreme Self Start","Hyderabad ",41000,RedAndBlack,Petrol,40000,2010,SecondOwner,,
36100,"Hero Honda Cbz Xtreme Self Start","Hyderabad ",23000,BlackAndRed,Petrol,39999,2010,FirstOwner,,
36101,"Hero Honda Passion Pro",K.,26000,Red,Petrol,28000,2010,SecondOwner,,
36102,"Hero Honda Splendor Plus","Medak ",14000,BlueNWhite,Petrol,27000,2008,SecondOwner,,
36103,"Hero Honda Karizma Zmr Pgm Fi","Hyderabad ",12000,White,Petrol,79000,2013,FirstOwner,,
36104,"Hero Honda Passion Pro","Hyderabad ",26000,BlueAndBlack,Petrol,32500,2010,FirstOwner,,
36105,"Hero Honda Cbz Xtreme Self Start","Hyderabad ",40000,Black,Petrol,27999,2008,SecondOwner,,
36106,"Hero Honda Passion Pro",K.,35300,BlackNRed,Petrol,40000,2011,FirstOwner,,
36107,"Hero Motocorp Ignitor 125 Disc",K.,12000,Black,Petrol,35000,2013,FirstOwner,,
36108,"Hero Honda Karizma Zmr Pgm Fi","Hyderabad ",1000,Black,Petrol,85000,2014,SecondOwner,,
36109,"Hero Honda Splendor Plus","Hyderabad ",80000,Black,Petrol,28000,2009,FirstOwner,,
36110,"Honda Unicorn Alloy",K.,21000,Black,Petrol,54999,2012,FirstOwner,,
36111,"Honda Unicorn Alloy","Hyderabad ",70000,Gray,Petrol,17000,2005,SecondOwner,,
36112,"Honda Unicorn Alloy","Punjagutta ",50000,Black,Petrol,34000,2005,SecondOwner,,
36113,"Bajaj Boxer 150","Hyderabad ",30000,Red,Petrol,19000,2002,SecondOwner,,
36114,"Royal Enfield Bullet 350 Twinspark",K.,21000,Black,Petrol,84999,2014,FirstOwner,,
36115,"Royal Enfield Thunderbird 350","Mumbai ",15000,BlackAndBlue,Petrol,110000,2013,FirstOwner,,
36116,"Royal Enfield Bullet Electra","Hyderabad ",25715,MattlicBlack,Petrol,90000,2009,SecondOwner,,
36117,"Royal Enfield Classic 500",K.,20500,DesertStone,Petrol,130000,2012,SecondOwner,,
36118,"Royal Enfield Bullet 350","Thane ",50000,Grey,Petrol,110000,1984,FifthOwner,,
36119,"KTM Duke 200","Mumbai ",13000,White,Petrol,100000,2014,FirstOwner,,
36120,"Yamaha YZF R15 Version 2.0","Thane ",28000,RedAndWhite,Petrol,70000,2013,FirstOwner,,
36121,"Yamaha YZF R15 Version 2.0","Thane ",40000,Red,Petrol,74000,2012,FirstOwner,,
36122,"Hero Honda Passion Plus","Mumbai ",80000,Red,Petrol,14000,2002,SecondOwner,,
36123,"Yamaha YZF R15 Version 2.0","Mumbai ",15000,Black,Petrol,73000,2013,SecondOwner,,
